Date,Adj_Close,Close,High,Low,Open,Volume
1995-12-15,43.102,61.8125,61.875,61.5937,61.875,416700
1995-12-18,42.2739,60.625,61.2656,60.6093,61.2656,862300
1995-12-19,42.7206,61.2656,61.3437,60.5781,60.6562,1022600
1995-12-20,42.3066,60.6718,61.5156,60.6718,61.4531,1349800
1995-12-21,42.5245,60.9843,61.1718,60.75,61.0312,857600
1995-12-22,42.677,61.2031,61.375,61.1406,61.3125,332800
1995-12-26,42.8841,61.5,61.5312,61.3281,61.4531,432200
1995-12-27,42.8622,61.4687,61.6562,61.3593,61.6562,151800
1995-12-28,42.8187,61.4062,61.6562,61.25,61.3437,256200
1995-12-29,42.8731,61.4843,61.5312,61.25,61.4687,339200
1996-01-02,43.3308,62.1406,62.1406,61.3437,61.4062,514400
1996-01-03,43.4506,62.3125,62.5,62.0,62.3437,610300
1996-01-04,43.0366,61.7187,62.625,61.2187,62.3906,1129700
1996-01-05,42.9494,61.5937,61.75,61.1718,61.3125,302400
1996-01-08,43.1128,61.8281,61.9062,61.7343,61.8125,179900
1996-01-09,42.372,60.7656,62.0625,60.625,62.0156,415500
1996-01-10,41.8163,59.9687,60.8125,59.6406,60.6875,787700
1996-01-11,42.0669,60.3281,60.3281,59.7812,60.0625,513200
1996-01-12,42.0015,60.2343,60.5,59.6718,60.4843,390400
1996-01-15,41.9143,60.1093,60.4531,59.8593,60.25,154200
1996-01-16,42.4264,60.8437,60.8906,59.8906,60.4062,454600
1996-01-17,42.2957,60.6562,61.125,60.4531,60.7031,407600
1996-01-18,42.4373,60.8593,60.9062,60.375,60.8906,425600
1996-01-19,42.7206,61.2656,61.4218,60.7968,60.8593,169800
1996-01-22,42.7315,61.2812,61.4218,61.1093,61.2187,288200
1996-01-23,42.8295,61.4218,61.4218,61.125,61.25,362200
1996-01-24,43.1782,61.9218,62.0468,61.4843,61.5156,1506500
1996-01-25,43.0257,61.7031,62.0,61.625,61.9687,298400
1996-01-26,43.3961,62.2343,62.2656,61.5781,61.6562,726300
1996-01-29,43.5704,62.4843,62.4843,62.1406,62.1875,254800
1996-01-30,43.9409,63.0156,63.1406,62.5312,62.6093,272100
1996-01-31,44.3985,63.6718,63.6875,62.9687,63.0,498000
1996-02-01,44.5619,63.9062,63.9062,63.5625,63.6093,373900
1996-02-02,44.3767,63.6406,64.0156,63.5,63.875,496200
1996-02-05,44.7362,64.1562,64.25,63.4375,63.5312,295300
1996-02-06,45.1612,64.7656,64.8281,64.0937,64.1875,301600
1996-02-07,45.4227,65.1406,65.1406,64.6875,64.75,585100
1996-02-08,45.9129,65.8437,65.9062,64.9218,65.0468,1526600
1996-02-09,45.9021,65.8281,66.375,65.5156,65.8125,804600
1996-02-12,46.2507,66.3281,66.625,65.8906,65.9531,626500
1996-02-13,46.1527,66.1875,66.6875,66.0,66.0468,1045900
1996-02-14,45.7495,65.6093,66.3593,65.5781,66.1406,431400
1996-02-15,45.4662,65.2031,65.9062,65.125,65.4687,889500
1996-02-16,45.281,64.9375,65.2343,64.7343,65.0781,606100
1996-02-20,44.8343,64.2968,64.625,63.875,64.4375,492300
1996-02-21,45.39,65.0937,65.1406,64.4218,64.4218,434000
1996-02-22,46.1091,66.125,66.3281,65.4062,65.4531,721400
1996-02-23,45.9783,65.9375,66.6093,65.3281,66.5,1430400
1996-02-26,45.3246,65.0,65.8906,64.9687,65.75,1408400
1996-02-27,45.1829,64.7968,65.1718,64.5,65.1562,601000
1996-02-28,44.976,64.5,65.7343,64.5,65.3125,865900
1996-02-29,44.5402,63.875,64.9531,63.875,64.125,914300
1996-03-01,45.2483,64.8906,64.8906,63.6093,64.6406,1452600
1996-03-04,45.5098,65.2656,65.6562,64.8125,65.0312,652600
1996-03-05,45.9348,65.875,65.875,65.0781,65.1093,402000
1996-03-06,45.5316,65.2968,65.9687,65.2968,65.7812,624700
1996-03-07,45.7604,65.625,65.6562,65.2343,65.4218,534200
1996-03-08,44.2787,63.5,64.875,62.0,64.1875,2289900
1996-03-11,44.7907,64.2343,64.3281,63.0625,63.25,1511400
1996-03-12,44.442,63.7343,64.0468,62.9062,63.8125,1385300
1996-03-13,44.7471,64.1718,64.4375,63.7968,64.1562,1019300
1996-03-14,44.9433,64.4531,64.8125,64.2343,64.2656,725600
1996-03-15,44.9131,64.125,64.3281,63.75,64.0625,869200
1996-03-18,45.7776,65.3593,65.3593,64.5781,64.7187,917600
1996-03-19,45.6791,65.2187,65.9375,65.0,65.9375,858300
1996-03-20,45.6244,65.1406,65.5312,64.6406,65.5312,744300
1996-03-21,45.5149,64.9843,65.25,64.7656,65.2187,650800
1996-03-22,45.6353,65.1562,65.3281,64.9375,65.0156,344500
1996-03-25,45.5478,65.0312,65.8125,64.8593,65.75,802400
1996-03-26,45.7667,65.3437,65.5156,64.8593,64.9218,969400
1996-03-27,45.3508,64.75,65.4843,64.6875,65.4375,809600
1996-03-28,45.5259,65.0,65.0312,64.5,64.5156,1001300
1996-03-29,45.3071,64.6875,65.1875,64.375,65.1875,457700
1996-04-01,45.8324,65.4375,65.4531,64.7968,65.0,773400
1996-04-02,45.9199,65.5625,65.5625,65.2968,65.5156,638800
1996-04-03,45.9199,65.5625,65.6093,65.1718,65.3281,288000
1996-04-04,45.8871,65.5156,65.7187,65.5,65.5625,934900
1996-04-08,45.0991,64.3906,64.3906,63.5937,63.875,2217200
1996-04-09,44.924,64.1406,64.6406,64.0156,64.6406,1180900
1996-04-10,44.1251,63.0,64.3125,62.75,64.0312,939500
1996-04-11,44.0704,62.9218,63.4687,62.125,63.1562,1276000
1996-04-12,44.6285,63.7187,63.8125,63.1718,63.3593,411300
1996-04-15,45.0006,64.25,64.3281,63.8437,64.0468,484200
1996-04-16,45.132,64.4375,64.6562,64.2343,64.375,429700
1996-04-17,45.0225,64.2812,64.5625,63.8437,64.375,525300
1996-04-18,45.0882,64.375,64.5781,64.0937,64.4375,818600
1996-04-19,45.1976,64.5312,64.8593,64.4218,64.6875,885100
1996-04-22,45.5478,65.0312,65.2812,64.5937,65.125,828900
1996-04-23,45.69,65.2343,65.2812,64.7812,64.9218,225400
1996-04-24,45.5259,65.0,65.5625,64.8593,65.5625,699000
1996-04-25,45.7338,65.2968,65.5625,64.75,65.1406,475500
1996-04-26,45.8324,65.4375,65.8125,65.2343,65.4687,563300
1996-04-29,45.8324,65.4375,65.5625,65.1562,65.1562,219900
